text,target,clean_text
I'm worried that my poor diet habits are affecting my relationships with my loved ones.,6,worried poor diet habits affecting relationships loved ones
I'm struggling to find a way to make healthy food choices when I'm feeling stressed or anxious.,6,struggling find make healthy food choices feeling stressed anxious
I feel like I'm always choosing convenience over health when it comes to my food choices.,6,feel like always choosing convenience health comes food choices
I'm afraid of the potential for negative consequences to my mental and emotional health if I don't improve my diet.,6,afraid potential negative consequences mental emotional health improve diet
I'm constantly feeling like I'm not able to find healthy food options that are budget-friendly.,6,constantly feeling like able find healthy food options budget friendly
I'm worried that my poor diet is affecting my ability to be successful personally.,6,worried poor diet affecting ability successful personally
I'm feeling so stressed because I can't resist my cravings for unhealthy foods.,6,feeling stressed resist cravings unhealthy foods
I'm constantly feeling guilty about my food choices and lack of willpower.,6,constantly feeling guilty food choices lack willpower
I'm worried that my unhealthy diet is affecting my physical health and well-being.,6,worried unhealthy diet affecting physical health well
I'm struggling to find a way to make healthy food choices consistently.,6,struggling find make healthy food choices consistently
I'm feeling so stressed because I'm physically and mentally weak.,7,feeling stressed physically mentally weak
I'm struggling to find the motivation to take care of my physical and mental health.,7,struggling find motivation take care physical mental health
I feel like I'm constantly tired and unable to focus on anything.,7,feel like constantly tired unable focus anything
I'm worried that my lack of energy is affecting my ability to be successful professionally.,7,worried lack energy affecting ability successful professionally
I'm constantly feeling like I'm not able to make progress towards my personal and professional goals because of my weakness.,7,constantly feeling like able make progress towards personal professional goals weakness
I'm afraid of the potential for negative health consequences if I don't improve my physical and mental health.,7,afraid potential negative health consequences improve physical mental health
I'm struggling to find a way to balance my need for rest with my desire to be productive.,7,struggling find balance need rest desire productive
I feel like I'm always falling behind in my work and responsibilities because of my weakness.,7,feel like always falling behind work responsibilities weakness
I'm worried that my physical and mental weakness is affecting my relationships with others.,7,worried physical mental weakness affecting relationships others
I'm constantly feeling guilty about not being able to do more because of my lack of energy.,7,constantly feeling guilty able lack energy
I'm struggling to find a way to improve my physical and mental health without sacrificing my other responsibilities.,7,struggling find improve physical mental health without sacrificing responsibilities
I feel like I'm constantly making excuses for my lack of energy and inability to concentrate.,7,feel like constantly making excuses lack energy inability concentrate
I'm afraid of the potential for negative consequences or harm to myself or others if I don't address my weakness.,7,afraid potential negative consequences harm others address weakness
I'm constantly feeling like I'm not able to fully enjoy my life because of my physical and mental weakness.,7,constantly feeling like able fully enjoy life physical mental weakness
I'm worried that my weakness is affecting my ability to be successful personally.,7,worried weakness affecting ability successful personally
I'm struggling to find a way to improve my physical and mental health without feeling overwhelmed.,7,struggling find improve physical mental health without feeling overwhelmed
I feel like I'm not able to fully engage in activities that I enjoy because of my weakness.,7,feel like able fully engage activities enjoy weakness
I'm afraid of the potential for missed opportunities or experiences if I don't address my physical and mental weakness.,7,afraid potential missed opportunities experiences address physical mental weakness
I'm constantly feeling like I'm not able to fully participate in my personal and professional life because of my weakness.,7,constantly feeling like able fully participate personal professional life weakness
I'm worried that my physical and mental weakness is affecting my ability to be successful romantically.,7,worried physical mental weakness affecting ability successful romantically
I'm struggling to find a way to improve my physical and mental health without feeling guilty or ashamed.,7,struggling find improve physical mental health without feeling guilty ashamed
I feel like I'm always struggling to keep up with my responsibilities and obligations because of my weakness.,7,feel like always struggling keep responsibilities obligations weakness
I'm afraid of the potential for negative feedback or criticism if I don't address my physical and mental weakness.,7,afraid potential negative feedback criticism address physical mental weakness
I'm constantly feeling like I'm not able to fully focus on tasks or projects because of my lack of concentration.,7,constantly feeling like able fully focus tasks projects lack concentration
I'm worried that my physical and mental weakness is affecting my ability to be successful academically.,7,worried physical mental weakness affecting ability successful academically
I'm struggling to find a way to improve my physical and mental health without feeling like it's a burden.,7,struggling find improve physical mental health without feeling like burden
I feel like I'm constantly forgetting things or making mistakes because of my lack of concentration.,7,feel like constantly forgetting things making mistakes lack concentration
I'm afraid of the potential for negative health consequences in the future if I don't address my physical and mental weakness.,7,afraid potential negative health consequences future address physical mental weakness
I'm constantly feeling like I'm not able to fully engage in my personal relationships because of my physical and mental weakness.,7,constantly feeling like able fully engage personal relationships physical mental weakness
I'm worried that my weakness is affecting my ability to be successful in my hobbies or interests.,7,worried weakness affecting ability successful hobbies interests
I'm struggling to find a way to improve my physical and mental health without feeling like I'm neglecting other areas of my life.,7,struggling find improve physical mental health without feeling like neglecting areas life
I feel like I'm not able to fully enjoy my personal and professional successes because of my weakness.,7,feel like able fully enjoy personal professional successes weakness
I'm afraid of the potential for negative consequences or harm to my loved ones if I don't address my physical and mental weakness.,7,afraid potential negative consequences harm loved ones address physical mental weakness
I'm constantly feeling like I'm not able to fully engage in my work or studies because of my physical and mental weakness.,7,constantly feeling like able fully engage work studies physical mental weakness
I'm worried that my weakness is affecting my ability to be successful in my personal relationships.,7,worried weakness affecting ability successful personal relationships
I'm struggling to find a way to improve my physical and mental health without feeling like I'm failing in other areas of my life.,7,struggling find improve physical mental health without feeling like failing areas life
I feel like I'm constantly struggling to keep up with the demands of my life because of my weakness.,7,feel like constantly struggling keep demands life weakness
I'm afraid of the potential for negative self-talk or criticism as a result of my physical and mental weakness.,7,afraid potential negative self talk criticism result physical mental weakness
I'm constantly feeling like I'm not able to fully enjoy my hobbies or interests because of my weakness.,7,constantly feeling like able fully enjoy hobbies interests weakness
I'm worried that my physical and mental weakness is affecting my ability to be successful in my career.,7,worried physical mental weakness affecting ability successful career
I'm struggling to find a way to improve my physical and mental health without feeling like I'm being selfish.,7,struggling find improve physical mental health without feeling like selfish
I feel like I'm not able to fully engage in my personal relationships or social life because of my weakness.,7,feel like able fully engage personal relationships social life weakness
I'm feeling so stressed because I'm physically and mentally weak and can't concentrate.,7,feeling stressed physically mentally weak concentrate
I'm struggling to find the motivation to take care of my physical and mental health.,7,struggling find motivation take care physical mental health
I feel like I'm constantly exhausted and unable to focus on anything.,7,feel like constantly exhausted unable focus anything
I'm worried that my lack of concentration is affecting my ability to be successful professionally.,7,worried lack concentration affecting ability successful professionally
I'm constantly feeling like I'm falling behind in my work and responsibilities because of my weakness.,7,constantly feeling like falling behind work responsibilities weakness
I'm afraid of the potential for negative health consequences if I don't address my physical and mental weakness.,7,afraid potential negative health consequences address physical mental weakness
I'm struggling to find a way to balance my need for rest with my need to be productive.,7,struggling find balance need rest need productive
I feel like I'm always making mistakes or forgetting things because of my lack of concentration.,7,feel like always making mistakes forgetting things lack concentration
I'm feeling so stressed because of problems in my family and relationships.,5,feeling stressed problems family relationships
I don't know how to resolve the issues that are causing me stress in my family and relationships.,5,know resolve issues causing stress family relationships
I feel like I'm not able to communicate effectively with my family and loved ones.,5,feel like able communicate effectively family loved ones
I'm worried that my family and relationships are negatively impacting my mental health.,5,worried family relationships negatively impacting mental health
I'm constantly feeling like I'm not doing enough to maintain healthy relationships with my loved ones.,5,constantly feeling like enough maintain healthy relationships loved ones
I'm struggling to find a way to balance my own needs with the needs of my family and loved ones.,5,struggling find balance needs needs family loved ones
I feel like I'm constantly walking on eggshells around my family and loved ones.,5,feel like constantly walking eggshells around family loved ones
I'm afraid of the potential for negative consequences or conflict if I don't address the issues in my family and relationships.,5,afraid potential negative consequences conflict address issues family relationships
I'm constantly feeling like I'm not able to meet others' expectations in my family and relationships.,5,constantly feeling like able meet others expectations family relationships
I'm worried that my family and relationships are affecting my ability to be successful professionally.,5,worried family relationships affecting ability successful professionally
I'm struggling to find a way to communicate my needs effectively to my family and loved ones.,5,struggling find communicate needs effectively family loved ones
I feel like I'm always putting my own needs aside in order to please others in my family and relationships.,5,feel like always putting needs aside order please others family relationships
I'm afraid of the potential for losing important relationships if I don't address the issues causing me stress.,5,afraid potential losing important relationships address issues causing stress
I'm constantly feeling like I'm not able to fully express myself in my family and relationships.,5,constantly feeling like able fully express family relationships
I'm worried that my family and relationships are affecting my ability to be successful romantically.,5,worried family relationships affecting ability successful romantically
I'm struggling to find a way to balance my own needs with the needs of my family and loved ones.,5,struggling find balance needs needs family loved ones
I feel like I'm not able to trust my family and loved ones because of past experiences.,5,feel like able trust family loved ones past experiences
I'm afraid of the potential for negative consequences or harm to myself or others if I don't address the issues in my family and relationships.,5,afraid potential negative consequences harm others address issues family relationships
I'm constantly feeling like I'm not able to be my true self around my family and loved ones.,5,constantly feeling like able true self around family loved ones
I'm worried that my family and relationships are affecting my mental health and causing me stress.,5,worried family relationships affecting mental health causing stress
I'm struggling to find a way to maintain healthy boundaries in my family and relationships.,5,struggling find maintain healthy boundaries family relationships
I feel like I'm constantly being pulled in different directions by my family and loved ones.,5,feel like constantly pulled different directions family loved ones
I'm afraid of the potential for negative feedback or criticism if I don't address the issues causing me stress.,5,afraid potential negative feedback criticism address issues causing stress
I'm constantly feeling like I'm not able to fully enjoy my relationships with my family and loved ones because of the stress they cause me.,5,constantly feeling like able fully enjoy relationships family loved ones stress cause
I'm worried that my family and relationships are affecting my ability to be successful professionally.,5,worried family relationships affecting ability successful professionally
I'm struggling to find a way to communicate effectively with my family and loved ones without causing conflict.,5,struggling find communicate effectively family loved ones without causing conflict
I feel like I'm always being judged or evaluated by my family and loved ones.,5,feel like always judged evaluated family loved ones
I'm afraid of the potential for negative consequences or harm to my family and loved ones if I don't address the issues causing me stress.,5,afraid potential negative consequences harm family loved ones address issues causing stress
I'm constantly feeling like I'm not able to maintain healthy relationships with my loved ones because of the stress they cause me.,5,constantly feeling like able maintain healthy relationships loved ones stress cause
I'm worried that my family and relationships are affecting my ability to be successful personally.,5,worried family relationships affecting ability successful personally
I'm struggling to find a way to balance my own needs with the needs of my family and loved ones.,5,struggling find balance needs needs family loved ones
I feel like I'm not able to fully trust my family and loved ones because of past experiences.,5,feel like able fully trust family loved ones past experiences
I'm afraid of the potential for missed opportunities or experiences if I don't address the issues causing me stress.,5,afraid potential missed opportunities experiences address issues causing stress
I'm constantly feeling like I'm not able to fully enjoy my relationships with my family and loved ones because of the stress they cause me.,5,constantly feeling like able fully enjoy relationships family loved ones stress cause
I'm worried that my family and relationships are affecting my ability to be a good friend or colleague.,5,worried family relationships affecting ability good friend colleague
I'm struggling to find a way to communicate effectively with my family and loved ones without causing conflict.,5,struggling find communicate effectively family loved ones without causing conflict
I feel like I'm always sacrificing my own needs for the sake of my family and loved ones.,5,feel like always sacrificing needs sake family loved ones
I'm afraid of the potential for negative consequences or harm to myself or others if I don't address the issues causing me stress.,5,afraid potential negative consequences harm others address issues causing stress
I'm constantly feeling like I'm not able to fully express my emotions or feelings in my family and relationships.,5,constantly feeling like able fully express emotions feelings family relationships
I'm worried that my family and relationships are affecting my ability to be successful romantically.,5,worried family relationships affecting ability successful romantically
I'm struggling to find a way to balance my own needs with the needs of my family and loved ones.,5,struggling find balance needs needs family loved ones
I feel like I'm not able to fully trust my family and loved ones because of past experiences.,5,feel like able fully trust family loved ones past experiences
I'm feeling so stressed because of problems in my family and relationships.,5,feeling stressed problems family relationships
I'm constantly feeling like I'm not doing enough to maintain healthy relationships with my loved ones.,5,constantly feeling like enough maintain healthy relationships loved ones
I'm worried that my family and relationships are negatively impacting my mental health.,5,worried family relationships negatively impacting mental health
I'm struggling to find a way to communicate effectively with my family and loved ones.,5,struggling find communicate effectively family loved ones
I feel like I'm always sacrificing my own needs for the sake of my family and loved ones.,5,feel like always sacrificing needs sake family loved ones
I'm afraid of the potential for negative consequences or harm to myself or others if I don't address the issues causing me stress.,5,afraid potential negative consequences harm others address issues causing stress
I'm constantly feeling like I'm not able to fully express my emotions or feelings in my family and relationships.,5,constantly feeling like able fully express emotions feelings family relationships
I'm worried that my family and relationships are affecting my ability to be successful personally and professionally.,5,worried family relationships affecting ability successful personally professionally
